dataset,label,embedding_model,ml_model,AUC,AUPR,Accuracy,F1_macro,F1_micro,MCC,Precision,Recall,AUPR_class0,AUPR_class1,AUPR_class2,AUPR_class3,AUPR_class4
clintox,CT_TOX,Molformer_Finetuned_WL,LightGBM,0.994,0.956,0.972,0.915,0.972,0.831,0.915,0.915,,,,,
clintox,CT_TOX,Molformer_Finetuned_WL,XGBoost,0.996,0.97,0.972,0.915,0.972,0.831,0.915,0.915,,,,,
clintox,FDA_APPROVED,ChemBERTa_77M_MLM_FL,CatBoost,0.986,0.999,0.958,0.822,0.958,0.664,0.769,0.91,,,,,
clintox,FDA_APPROVED,ChemBERTa_77M_MLM_FL,LightGBM,0.987,0.999,0.951,0.803,0.951,0.633,0.746,0.907,,,,,
clintox,FDA_APPROVED,ChemBERTa_77M_MLM_FL,XGBoost,0.988,0.999,0.958,0.822,0.958,0.664,0.769,0.91,,,,,
clintox,FDA_APPROVED,ChemBERTa_77M_MLM_WL,CatBoost,0.988,0.999,0.951,0.82,0.951,0.689,0.75,0.974,,,,,
clintox,FDA_APPROVED,ChemBERTa_77M_MLM_WL,LightGBM,0.992,1.0,0.979,0.906,0.979,0.827,0.85,0.989,,,,,
clintox,FDA_APPROVED,ChemBERTa_77M_MLM_WL,XGBoost,0.986,0.999,0.965,0.859,0.965,0.75,0.792,0.982,,,,,
clintox,FDA_APPROVED,ChemBERTa_77M_MTR_FL,CatBoost,0.992,1.0,0.944,0.803,0.944,0.663,0.733,0.971,,,,,
clintox,FDA_APPROVED,ChemBERTa_77M_MTR_FL,LightGBM,0.988,0.999,0.951,0.82,0.951,0.689,0.75,0.974,,,,,
clintox,FDA_APPROVED,ChemBERTa_77M_MTR_FL,XGBoost,0.985,0.999,0.958,0.839,0.958,0.717,0.769,0.978,,,,,
clintox,FDA_APPROVED,ChemBERTa_77M_MTR_WL,CatBoost,0.986,0.999,0.965,0.859,0.965,0.75,0.792,0.982,,,,,
clintox,FDA_APPROVED,ChemBERTa_77M_MTR_WL,LightGBM,0.986,0.999,0.965,0.859,0.965,0.75,0.792,0.982,,,,,
clintox,FDA_APPROVED,ChemBERTa_77M_MTR_WL,XGBoost,0.989,0.999,0.958,0.839,0.958,0.717,0.769,0.978,,,,,
clintox,FDA_APPROVED,MolFormer_Finetuned_FL,CatBoost,0.988,0.999,0.972,0.881,0.972,0.786,0.818,0.985,,,,,
clintox,FDA_APPROVED,MolFormer_Finetuned_FL,LightGBM,0.986,0.999,0.979,0.906,0.979,0.827,0.85,0.989,,,,,
clintox,FDA_APPROVED,MolFormer_Finetuned_FL,XGBoost,0.988,0.999,0.979,0.906,0.979,0.827,0.85,0.989,,,,,
clintox,FDA_APPROVED,Molformer_Finetuned_WL,CatBoost,0.987,0.999,0.965,0.859,0.965,0.75,0.792,0.982,,,,,
clintox,FDA_APPROVED,Molformer_Finetuned_WL,LightGBM,0.98,0.999,0.965,0.859,0.965,0.75,0.792,0.982,,,,,
clintox,FDA_APPROVED,Molformer_Finetuned_WL,XGBoost,0.981,0.999,0.965,0.859,0.965,0.75,0.792,0.982,,,,,
flavor,,ChemBERTa_77M_MLM_FL,CatBoost,,,0.875,0.728,0.875,0.777,,,0.79,0.869,0.987,0.282,0.772
flavor,,ChemBERTa_77M_MLM_FL,LightGBM,,,0.865,0.718,0.865,0.763,,,0.773,0.791,0.984,0.263,0.771
flavor,,ChemBERTa_77M_MLM_FL,XGBoost,,,0.875,0.69,0.875,0.764,,,0.761,0.8,0.983,0.236,0.771
flavor,,ChemBERTa_77M_MLM_WL,CatBoost,,,0.871,0.726,0.871,0.774,,,0.817,0.867,0.987,0.427,0.77
flavor,,ChemBERTa_77M_MLM_WL,LightGBM,,,0.772,0.659,0.772,0.661,,,0.791,0.848,0.982,0.37,0.765
flavor,,ChemBERTa_77M_MLM_WL,XGBoost,,,0.885,0.707,0.885,0.783,,,0.802,0.818,0.98,0.411,0.763
flavor,,ChemBERTa_77M_MTR_FL,CatBoost,,,0.886,0.741,0.886,0.798,,,0.824,0.922,0.988,0.371,0.773
flavor,,ChemBERTa_77M_MTR_FL,LightGBM,,,0.882,0.716,0.882,0.791,,,0.808,0.855,0.986,0.258,0.762
flavor,,ChemBERTa_77M_MTR_FL,XGBoost,,,0.887,0.724,0.887,0.789,,,0.81,0.818,0.985,0.39,0.77
flavor,,ChemBERTa_77M_MTR_WL,CatBoost,,,0.884,0.76,0.884,0.795,,,0.826,0.917,0.988,0.484,0.794
flavor,,ChemBERTa_77M_MTR_WL,LightGBM,,,0.888,0.757,0.888,0.803,,,0.808,0.803,0.983,0.451,0.793
flavor,,ChemBERTa_77M_MTR_WL,XGBoost,,,0.884,0.764,0.884,0.782,,,0.803,0.797,0.984,0.468,0.797
flavor,,MolFormer_Finetuned_FL,CatBoost,,,0.885,0.782,0.885,0.79,,,0.806,0.928,0.986,0.483,0.745
flavor,,MolFormer_Finetuned_FL,LightGBM,,,0.889,0.788,0.889,0.793,,,0.811,0.941,0.986,0.453,0.735
flavor,,MolFormer_Finetuned_FL,XGBoost,,,0.886,0.772,0.886,0.786,,,0.806,0.935,0.985,0.6,0.733
flavor,,Molformer_Finetuned_WL,CatBoost,,,0.893,0.774,0.893,0.804,,,0.837,0.95,0.988,0.548,0.768
flavor,,Molformer_Finetuned_WL,LightGBM,,,0.892,0.794,0.892,0.798,,,0.831,0.945,0.988,0.548,0.758
flavor,,Molformer_Finetuned_WL,XGBoost,,,0.891,0.771,0.891,0.794,,,0.829,0.954,0.987,0.546,0.758
